['CV', 154, 'UV', 5, 'uname', 'diff', 'V3', 'V2', 0.8819383259911895, 0.173736572265625]
['CV', 184, 'BV', 10, 'ptx', 'gvmap', 'V0', 'V2', 0.9562464018422567, 0.5414488315582275]
['CV', 120, 'UV', 9, 'sync', 'readelf', 'V3', 'V2', 0.9720044792833147, 0.3216278553009033]
['BV', 74, 'UV', 77, 'git', 'ranlib', 'V1', 'V0', 0.9924875495906137, 60.13798952102661]
['BV', 59, 'CV', 23, 'make', 'wc', 'V1', 'V2', 0.9896275341819897, 0.43537449836730957]
['CV', 167, 'BV', 62, 'uniq', 'diff', 'V3', 'V0', 0.9143876337693222, 0.14516401290893555]
['CV', 26, 'UV', 20, 'date', 'size', 'V2', 'V2', 0.9706005879882402, 1.172396183013916]
['UV', 39, 'BV', 44, 'find', 'make', 'V3', 'V0', 0.9550080342795929, 2.4836153984069824]
['CV', 321, 'BV', 69, 'hostid', 'gvmap', 'V1', 'V0', 0.9528222409435552, 0.14504504203796387]
['UV', 10, 'CV', 143, 'as', 'yes', 'V2', 'V3', 0.9973175965665236, 1.2958359718322754]
['CV', 159, 'BV', 32, 'id', 'perl', 'V3', 'V0', 0.9857717869512309, 2.4349262714385986]
['CV', 215, 'BV', 49, 'nice', 'make', 'V0', 'V3', 0.9757914338919925, 0.2868082523345947]
['UV', 9, 'CV', 19, 'readelf', 'pr', 'V2', 'V2', 0.9862068965517241, 0.422774076461792]
['CV', 204, 'BV', 34, 'pinky', 'svn', 'V0', 'V0', 0.9773063640848545, 0.5080375671386719]
['BV', 64, 'CV', 86, 'openssl', 'ln', 'V2', 'V2', 0.9956376326886723, 2.3287787437438965]
['CV', 297, 'UV', 81, 'chroot', 'ld', 'V1', 'V0', 0.9895625479662318, 0.8856878280639648]
['CV', 207, 'BV', 18, 'sync', 'sort', 'V0', 'V3', 0.9313824419778002, 0.10476374626159668]
['UV', 30, 'CV', 318, 'ld', 'who', 'V3', 'V1', 0.9980147475893364, 1.1951119899749756]
['CV', 255, 'UV', 51, 'sleep', 'nm', 'V0', 'V1', 0.9822822189411516, 0.6601336002349854]
['CV', 19, 'BV', 59, 'pr', 'make', 'V2', 'V1', 0.9528130671506352, 0.5438694953918457]
['UV', 5, 'CV', 140, 'diff', 'tty', 'V2', 'V3', 0.9699381078691424, 0.16134047508239746]
['UV', 46, 'CV', 306, 'diff', 'cp', 'V1', 'V1', 0.9779364049318624, 0.3741598129272461]
['CV', 100, 'UV', 17, 'join', 'addr2line', 'V3', 'V2', 0.9617283950617284, 1.4355573654174805]
['CV', 219, 'BV', 1, 'cp', 'libSDL2-2.0.so', 'V0', 'V3', 0.9783879148748484, 3.73098087310791]
['BV', 64, 'CV', 154, 'openssl', 'uname', 'V2', 'V3', 0.9976334861706848, 1.5620718002319336]
['CV', 327, 'BV', 70, 'link', 'ssh', 'V1', 'V0', 0.990371714939626, 1.4381933212280273]
['CV', 326, 'UV', 12, 'env', 'c++filt', 'V1', 'V2', 0.9823710885852799, 0.6064426898956299]
['UV', 27, 'BV', 50, 'c++filt', 'sort', 'V3', 'V0', 0.9944503735325507, 1.3059852123260498]
['CV', 24, 'UV', 69, 'factor', 'sdiff', 'V2', 'V0', 0.8817733990147784, 0.07306122779846191]
['CV', 196, 'UV', 7, 'kill', 'nm', 'V0', 'V2', 0.9821466524973432, 0.7162199020385742]
['CV', 60, 'UV', 79, 'hostid', 'strings', 'V2', 'V0', 0.9820587575689617, 0.7435107231140137]
['BV', 10, 'CV', 169, 'gvmap', 'sort', 'V2', 'V3', 0.9613339777670372, 0.9042766094207764]
['BV', 42, 'CV', 332, 'libvlc.so', '[', 'V1', 'V1', 0.9912616056799564, 0.30958008766174316]
['UV', 6, 'BV', 38, 'sdiff', 'ruby', 'V2', 'V2', 1.0, 0.018657445907592773]
['UV', 28, 'CV', 339, 'strings', 'rm', 'V3', 'V1', 0.992711682743837, 1.1474850177764893]
['UV', 65, 'CV', 295, 'objdump', 'echo', 'V1', 'V1', 0.9993935718617344, 0.731163740158081]
['UV', 41, 'BV', 27, 'cmp', 'libSDL2-2.0.so', 'V3', 'V1', 0.981413147464808, 2.1473023891448975]
['BV', 39, 'UV', 18, 'svn', 'ar', 'V1', 'V2', 0.9579418344519015, 8.048746824264526]
['CV', 90, 'BV', 52, 'test', 'libSDL2-2.0.so', 'V3', 'V2', 0.9779713114754098, 2.3757598400115967]
['CV', 207, 'UV', 19, 'sync', 'elfedit', 'V0', 'V2', 0.9631578947368421, 0.043914079666137695]
['CV', 297, 'BV', 61, 'chroot', 'cmp', 'V1', 'V0', 0.9233716475095786, 0.020528078079223633]
['BV', 68, 'CV', 195, 'dot', 'chgrp', 'V0', 'V0', 0.9887005649717514, 0.04015541076660156]
['BV', 17, 'CV', 200, 'codeblocks', 'date', 'V2', 'V0', 0.9992418019839515, 3.4606995582580566]
['CV', 162, 'UV', 66, 'tr', 'diff3', 'V3', 'V0', 0.9079136690647482, 0.1002652645111084]
['BV', 30, 'CV', 24, 'bash', 'factor', 'V0', 'V2', 0.9979402677651905, 1.4435005187988281]
['UV', 80, 'BV', 11, 'objcopy', 'bash', 'V0', 'V1', 0.9690532745164574, 36.74303388595581]
['BV', 45, 'UV', 85, 'svn', 'elfedit', 'V3', 'V0', 0.9930386355725722, 0.5982093811035156]
['UV', 28, 'CV', 111, 'strings', 'factor', 'V3', 'V3', 0.9945515507124896, 1.403304100036621]
['UV', 74, 'BV', 47, 'strip', 'dot', 'V0', 'V3', 0.9982644914960084, 0.38433170318603516]
['UV', 23, 'CV', 284, 'strip', 'wc', 'V3', 'V1', 0.9974914889804695, 0.8401291370391846]
['CV', 313, 'UV', 58, 'logname', 'objcopy', 'V1', 'V1', 0.9861225838427227, 0.7433128356933594]
['CV', 141, 'BV', 26, 'false', 'geany', 'V3', 'V2', 0.9939913008385274, 5.31463360786438]
['CV', 302, 'UV', 32, 'nice', 'addr2line', 'V1', 'V3', 0.9818944579377346, 0.6667730808258057]
['CV', 83, 'BV', 56, 'tac', 'ssh', 'V2', 'V3', 0.9639953542392566, 2.684232234954834]
['UV', 33, 'CV', 338, 'ar', 'nl', 'V3', 'V1', 0.9938068511708922, 1.7505989074707031]
['CV', 66, 'BV', 76, 'link', 'diff', 'V2', 'V2', 0.8974358974358975, 0.1453227996826172]
['BV', 2, 'CV', 79, 'cmp', 'fold', 'V1', 'V2', 0.9390243902439024, 0.05250692367553711]
['CV', 338, 'BV', 36, 'nl', 'libvlc.so', 'V1', 'V2', 0.983864118895966, 0.874553918838501]
['UV', 28, 'CV', 102, 'strings', 'uptime', 'V3', 'V3', 0.9953091684434968, 1.576467514038086]
['UV', 38, 'CV', 172, 'xargs', 'mknod', 'V3', 'V3', 0.9842105263157894, 0.2754402160644531]
['CV', 273, 'BV', 72, 'stty', 'perl', 'V1', 'V1', 0.9914793594828852, 3.2821767330169678]
['UV', 1, 'CV', 152, 'xargs', 'env', 'V2', 'V3', 0.9393939393939394, 0.1015937328338623]
