['CO', 147, 'BO', 7, 'chroot', 'sort', 'O1', 'O0', 0.9078341013824884, 0.34219884872436523]
['BO', 34, 'CO', 345, 'cp', 'chown', 'O2', 'O0', 0.9589353612167301, 0.4641740322113037]
['CO', 66, 'UO', 12, 'runcon', 'gprof', 'O3', 'O1', 0.9808929615909534, 1.0385053157806396]
['CO', 139, 'BO', 75, 'base32', 'gvmap', 'O1', 'O1', 0.9448656099241902, 0.3160068988800049]
['BO', 18, 'UO', 0, 'libvlc.so.12.0.0', 'locate', 'O1', 'O1', 0.9764168885507798, 1.471421241760254]
['CO', 192, 'BO', 81, 'shred', 'sort', 'O1', 'O3', 0.9132492113564669, 0.2981555461883545]
['UO', 47, 'BO', 73, 'as', 'cluster', 'O3', 'O1', 0.9849642294167577, 5.970466136932373]
['UO', 29, 'CO', 208, 'as', 'sha384sum', 'O2', 'O2', 0.996510067114094, 1.4745640754699707]
['BO', 40, 'CO', 325, 'lua', 'printenv', 'O0', 'O0', 0.9935992122107337, 0.8153083324432373]
['BO', 28, 'CO', 140, 'ruby', 'pinky', 'O0', 'O1', 0.9984411535463756, 6.199612617492676]
['UO', 34, 'CO', 165, 'ld', 'cksum', 'O2', 'O1', 0.9965976750779699, 1.3053462505340576]
['UO', 27, 'BO', 38, 'strip', 'acyclic', 'O2', 'O2', 0.997809819310093, 0.41690850257873535]
['UO', 24, 'BO', 46, 'diff', 'ruby', 'O2', 'O3', 0.9810451845424815, 22.560750722885132]
['BO', 54, 'CO', 382, 'lua', 'b2sum', 'O3', 'O0', 0.9788455726805682, 1.0282530784606934]
['UO', 72, 'CO', 73, 'strings', 'hostid', 'O0', 'O3', 0.9971522141534956, 1.3767101764678955]
['UO', 25, 'CO', 307, 'sdiff', 'sort', 'O2', 'O2', 0.9107939339875112, 0.25931429862976074]
['BO', 60, 'CO', 270, 'openssl', 'printf', 'O0', 'O2', 0.9975918121613486, 2.835552930831909]
['BO', 8, 'CO', 34, 'cp', 'tail', 'O0', 'O3', 0.9631336405529954, 0.49094295501708984]
['UO', 71, 'CO', 400, 'c++filt', 'shred', 'O0', 'O0', 0.9975151849806737, 2.9169347286224365]
['CO', 216, 'BO', 79, 'dir', 'bash', 'O2', 'O3', 0.9701467076083248, 6.487015724182129]
['CO', 184, 'BO', 56, 'uname', 'libvlc.so.12.0.0', 'O1', 'O3', 0.9850224663005491, 0.5126917362213135]
['UO', 10, 'CO', 390, 'objcopy', 'chcon', 'O1', 'O0', 0.9896120759616945, 2.946959972381592]
['CO', 118, 'UO', 12, 'stty', 'gprof', 'O1', 'O1', 0.9641084383352425, 1.5033371448516846]
['CO', 225, 'UO', 77, 'stdbuf', 'ar', 'O2', 'O0', 0.9918809201623816, 2.1818788051605225]
['UO', 59, 'CO', 394, 'locate', 'shuf', 'O3', 'O0', 0.9755911517925248, 0.4464244842529297]
['BO', 71, 'CO', 130, 'libSDL2-2.0.so.0.16.0', 'kill', 'O0', 'O1', 0.9959548648073239, 2.402331590652466]
['CO', 145, 'UO', 4, 'echo', 'strip', 'O1', 'O1', 0.9759623758927016, 1.0737478733062744]
['CO', 308, 'UO', 17, 'tac', 'objdump', 'O2', 'O1', 0.9854862119013063, 1.858388900756836]
['CO', 142, 'BO', 55, 'sha1sum', 'make', 'O1', 'O1', 0.9402298850574713, 0.4349548816680908]
['UO', 77, 'BO', 43, 'ar', 'diff', 'O0', 'O1', 0.9873323397913562, 5.557790040969849]
['BO', 22, 'CO', 368, 'perl', 'cut', 'O0', 'O0', 0.9990217315351827, 3.7702369689941406]
['BO', 56, 'CO', 390, 'libvlc.so.12.0.0', 'chcon', 'O3', 'O0', 0.9900621118012423, 1.1975879669189453]
['UO', 47, 'CO', 125, 'as', 'mktemp', 'O3', 'O1', 0.9932687129779214, 1.9581773281097412]
