['CV', 343, 'BV', 3, 'sort', 'diff', 'V1', 'V1', 0.910964550700742, 0.27112674713134766]
['CV', 28, 'BV', 46, 'chown', 'cluster', 'V2', 'V3', 0.9399085564990203, 0.4189789295196533]
['BV', 52, 'CV', 53, 'libSDL2-2.0.so', 'tty', 'V2', 'V2', 0.9968819020397558, 1.1374156475067139]
['BV', 55, 'CV', 151, 'codeblocks', 'md5sum', 'V3', 'V3', 0.9986377708978328, 4.059782028198242]
['UV', 27, 'CV', 112, 'c++filt', 'expand', 'V3', 'V3', 0.9952153110047847, 1.0031261444091797]
['BV', 24, 'UV', 20, 'git', 'size', 'V0', 'V2', 0.9902359641985354, 50.12637162208557]
['CV', 306, 'BV', 14, 'cp', 'openssl', 'V1', 'V3', 0.9915622940013183, 3.988400459289551]
['CV', 310, 'UV', 67, 'tsort', 'cmp', 'V1', 'V0', 0.8571428571428572, 0.04749441146850586]
['UV', 6, 'CV', 247, 'sdiff', 'shred', 'V2', 'V0', 0.9393019726858877, 0.0938260555267334]
['BV', 35, 'CV', 70, 'libvlccore.so', 'vdir', 'V2', 'V2', 0.9971409720694964, 4.662240505218506]
['UV', 15, 'BV', 70, 'ld', 'ssh', 'V2', 'V0', 0.9791990065197144, 65.25179600715637]
['BV', 80, 'UV', 72, 'cluster', 'find', 'V1', 'V0', 0.9625399725902238, 1.055246353149414]
['UV', 78, 'BV', 40, 'c++filt', 'lua', 'V0', 'V2', 0.9732835392128698, 8.148094177246094]
['CV', 346, 'UV', 67, 'mknod', 'cmp', 'V1', 'V0', 0.8503401360544218, 0.04476022720336914]
['UV', 7, 'CV', 79, 'nm', 'fold', 'V2', 'V2', 0.9953713444140543, 0.7908129692077637]
['BV', 12, 'CV', 244, 'sort', 'vdir', 'V2', 'V0', 0.9236111111111112, 0.27265334129333496]
['CV', 159, 'UV', 7, 'id', 'nm', 'V3', 'V2', 0.9723369116432701, 1.2235398292541504]
['CV', 109, 'UV', 86, 'kill', 'size', 'V3', 'V0', 0.984100573118876, 1.150261402130127]
['CV', 167, 'UV', 65, 'uniq', 'objdump', 'V3', 'V1', 0.9742011140428027, 2.017383337020874]
['CV', 194, 'UV', 13, 'tee', 'strings', 'V0', 'V2', 0.9817311874728143, 0.6867787837982178]
['CV', 155, 'UV', 74, 'cat', 'strip', 'V3', 'V0', 0.9788448623237072, 1.3341302871704102]
['BV', 53, 'CV', 71, 'ssh', '[', 'V2', 'V2', 0.9986371895820715, 2.2612290382385254]
['BV', 57, 'CV', 196, 'svn', 'kill', 'V2', 'V0', 0.9971590909090909, 0.35683250427246094]
['BV', 75, 'CV', 342, 'cmp', 'sleep', 'V2', 'V1', 0.9594594594594594, 0.04293417930603027]
['CV', 43, 'BV', 32, 'chmod', 'perl', 'V2', 'V0', 0.980658359680119, 2.9152581691741943]
['UV', 6, 'CV', 342, 'sdiff', 'sleep', 'V2', 'V1', 0.9492753623188406, 0.0563507080078125]
['UV', 24, 'CV', 211, 'readelf', 'seq', 'V3', 'V0', 0.9931428571428571, 0.3504366874694824]
['CV', 186, 'UV', 32, 'stty', 'addr2line', 'V0', 'V3', 0.9834458723589632, 0.900665283203125]
['CV', 229, 'BV', 61, 'nohup', 'cmp', 'V0', 'V0', 0.9293286219081272, 0.02318263053894043]
['BV', 75, 'UV', 85, 'cmp', 'elfedit', 'V2', 'V0', 0.981651376146789, 0.09395980834960938]
['UV', 35, 'CV', 240, 'size', 'link', 'V3', 'V0', 0.9969081272084805, 0.5163719654083252]
['CV', 84, 'UV', 17, 'rmdir', 'addr2line', 'V2', 'V2', 0.9774324036619119, 0.9455223083496094]
['CV', 220, 'BV', 31, 'cut', 'codeblocks', 'V0', 'V0', 0.9957744619041331, 3.51361346244812]
['BV', 30, 'CV', 68, 'bash', 'cat', 'V0', 'V2', 0.9963923337091319, 2.283498764038086]
['UV', 48, 'CV', 313, 'locate', 'logname', 'V1', 'V1', 0.9887133182844243, 0.08248233795166016]
['BV', 7, 'CV', 304, 'libSDL2-2.0.so', 'chmod', 'V0', 'V1', 0.9950903033491145, 1.6338424682617188]
['CV', 146, 'UV', 31, 'head', 'gprof', 'V3', 'V3', 0.9674062438641272, 1.392359733581543]
['CV', 120, 'BV', 74, 'sync', 'git', 'V3', 'V1', 0.9921467321105657, 3.3338868618011475]
['UV', 20, 'CV', 23, 'size', 'wc', 'V2', 'V2', 0.995357670394598, 1.0244338512420654]
['CV', 9, 'BV', 25, 'users', 'git', 'V2', 'V3', 0.9940755873340144, 4.991252899169922]
['UV', 67, 'CV', 93, 'cmp', 'fmt', 'V0', 'V3', 0.9368421052631579, 0.07416129112243652]
['BV', 74, 'CV', 311, 'git', 'cksum', 'V1', 'V1', 0.999584437172095, 2.002293109893799]
