['BV', 45, 'CV', 294, 'svn', 'sync', 'V3', 'V1', 0.9970845481049563, 0.37131309509277344]
['UV', 58, 'BV', 19, 'objcopy', 'cp', 'V1', 'V3', 0.9920094702574727, 3.737915277481079]
['CV', 306, 'UV', 14, 'cp', 'objcopy', 'V1', 'V2', 0.961577350859454, 2.034242630004883]
['UV', 58, 'CV', 201, 'objcopy', 'expr', 'V1', 'V0', 0.9944151411728204, 2.2352418899536133]
['UV', 75, 'CV', 7, 'readelf', 'dir', 'V0', 'V2', 0.972943722943723, 0.6515541076660156]
['CV', 70, 'UV', 8, 'vdir', 'strip', 'V2', 'V2', 0.9732375979112271, 2.921949625015259]
['UV', 1, 'CV', 88, 'xargs', 'stat', 'V2', 'V3', 0.9305555555555556, 0.2037360668182373]
['UV', 73, 'CV', 195, 'nm', 'chgrp', 'V0', 'V0', 0.9926991625509985, 1.0096659660339355]
['BV', 41, 'CV', 186, 'libvlccore.so', 'stty', 'V1', 'V0', 0.9992269037495168, 1.3949077129364014]
['CV', 8, 'UV', 77, 'du', 'ranlib', 'V2', 'V0', 0.9607244995233556, 2.4843602180480957]
['BV', 8, 'UV', 54, 'cluster', 'as', 'V2', 'V1', 0.9574570364138926, 5.99833083152771]
['CV', 67, 'BV', 82, 'uname', 'gvmap', 'V2', 'V1', 0.9624548736462094, 0.2155594825744629]
['CV', 265, 'BV', 1, 'basename', 'libSDL2-2.0.so', 'V1', 'V3', 0.9856393891041714, 1.2911498546600342]
['BV', 18, 'CV', 111, 'sort', 'factor', 'V3', 'V3', 0.9764890282131662, 0.2758767604827881]
['BV', 28, 'CV', 62, 'openssl', 'unexpand', 'V1', 'V2', 0.9990037856146643, 2.8824045658111572]
['BV', 21, 'CV', 259, 'cp', 'mknod', 'V1', 'V0', 0.956081081081081, 0.05952906608581543]
['CV', 297, 'UV', 57, 'chroot', 'strings', 'V1', 'V1', 0.9827697609304329, 0.6367239952087402]
['CV', 204, 'BV', 17, 'pinky', 'codeblocks', 'V0', 'V2', 0.9937943262411347, 3.8034117221832275]
['BV', 38, 'CV', 10, 'ruby', 'ptx', 'V2', 'V2', 0.9945054945054945, 0.030066967010498047]
['UV', 22, 'BV', 44, 'nm', 'make', 'V3', 'V0', 0.9763792266623523, 5.250507354736328]
['BV', 48, 'CV', 35, 'gvmap', 'sum', 'V3', 'V2', 0.9819569743233866, 0.2740635871887207]
['BV', 47, 'CV', 188, 'dot', 'dirname', 'V3', 'V0', 0.9900990099009901, 0.019336223602294922]
['CV', 196, 'BV', 41, 'kill', 'libvlccore.so', 'V0', 'V1', 0.9919595383218779, 1.3103795051574707]
['CV', 76, 'BV', 59, 'comm', 'make', 'V2', 'V1', 0.958930276981853, 0.3971984386444092]
['UV', 58, 'CV', 177, 'objcopy', 'test', 'V1', 'V0', 0.9973718791064389, 0.843928337097168]
['UV', 26, 'CV', 345, 'ranlib', 'rmdir', 'V3', 'V1', 0.9966756700602535, 0.5967819690704346]
['CV', 331, 'BV', 37, 'vdir', 'geany', 'V1', 'V1', 0.9902110172230687, 14.52895736694336]
['CV', 186, 'BV', 35, 'stty', 'libvlccore.so', 'V0', 'V2', 0.9944617514710973, 2.0578625202178955]
['BV', 70, 'CV', 135, 'ssh', 'df', 'V0', 'V3', 0.9951230663720186, 5.249008417129517]
['BV', 48, 'CV', 133, 'gvmap', 'cut', 'V3', 'V3', 0.9679358717434869, 0.3306307792663574]
['CV', 252, 'UV', 30, 'rm', 'ld', 'V0', 'V3', 0.9820527201346047, 1.9488027095794678]
['CV', 225, 'UV', 83, 'printf', 'addr2line', 'V0', 'V0', 0.9821468422227182, 0.8621187210083008]
['UV', 5, 'CV', 148, 'diff', 'ginstall', 'V2', 'V3', 0.9282218597063622, 0.655388593673706]
['CV', 168, 'BV', 37, 'sleep', 'geany', 'V3', 'V1', 0.9933554817275747, 6.538975715637207]
['BV', 27, 'CV', 49, 'libSDL2-2.0.so', 'tsort', 'V1', 'V2', 0.9958597847088049, 1.2262535095214844]
['CV', 200, 'BV', 21, 'date', 'cp', 'V0', 'V1', 0.8762886597938144, 0.0987234115600586]
['UV', 73, 'CV', 158, 'nm', '[', 'V0', 'V3', 0.9948805460750854, 1.0753915309906006]
['CV', 61, 'BV', 20, 'ginstall', 'sort', 'V2', 'V1', 0.9467889908256881, 0.2399425506591797]
['CV', 277, 'UV', 84, 'dd', 'ar', 'V1', 'V0', 0.9713584288052373, 1.24344801902771]
['CV', 143, 'BV', 48, 'yes', 'gvmap', 'V3', 'V3', 0.9524475524475524, 0.2639329433441162]
['UV', 84, 'CV', 184, 'ar', 'ptx', 'V0', 'V0', 0.9929646277115497, 1.795717477798462]
['UV', 39, 'CV', 137, 'find', 'cksum', 'V3', 'V3', 0.988541207580432, 0.43674802780151367]
['CV', 168, 'BV', 5, 'sleep', 'libvlccore.so', 'V3', 'V0', 0.9905163329820864, 1.6981160640716553]
['CV', 55, 'UV', 39, 'nohup', 'find', 'V2', 'V3', 0.9669495310406432, 0.4248685836791992]
['BV', 44, 'CV', 254, 'make', 'uniq', 'V0', 'V0', 0.9895506792058516, 0.3096425533294678]
['UV', 26, 'BV', 28, 'ranlib', 'openssl', 'V3', 'V1', 0.9760498554030386, 68.25592708587646]
['CV', 186, 'UV', 56, 'stty', 'c++filt', 'V0', 'V1', 0.9815845824411135, 0.9274826049804688]
['UV', 36, 'BV', 82, 'objdump', 'gvmap', 'V3', 'V1', 0.9872412132883968, 6.064400672912598]
['CV', 77, 'UV', 68, 'nl', 'diff', 'V2', 'V0', 0.9182437547312642, 0.31699180603027344]
['CV', 190, 'UV', 59, 'dd', 'ld', 'V0', 'V1', 0.9813480288257737, 1.887786865234375]
['CV', 50, 'BV', 72, 'cksum', 'perl', 'V2', 'V1', 0.9885175916384513, 1.7094883918762207]
['BV', 72, 'CV', 245, 'perl', '[', 'V1', 'V0', 0.9985277880014722, 1.8194544315338135]
['CV', 317, 'UV', 39, 'yes', 'find', 'V1', 'V3', 0.9786344635392475, 0.30238986015319824]
['BV', 59, 'UV', 32, 'make', 'addr2line', 'V1', 'V3', 0.9513288504642972, 6.122828006744385]
['CV', 257, 'BV', 13, 'tac', 'cp', 'V0', 'V2', 0.9007569386038687, 0.2709023952484131]
['UV', 34, 'CV', 26, 'elfedit', 'date', 'V3', 'V2', 0.9752212389380531, 0.10689640045166016]
['CV', 319, 'BV', 51, 'readlink', 'cp', 'V1', 'V0', 0.8855218855218855, 0.07012176513671875]
['BV', 36, 'CV', 45, 'libvlc.so', 'cp', 'V2', 'V2', 0.9866823345084215, 1.1830415725708008]
['CV', 96, 'BV', 43, 'users', 'lua', 'V3', 'V0', 0.9583654587509638, 0.5279386043548584]
['BV', 61, 'CV', 109, 'cmp', 'kill', 'V0', 'V3', 0.899736147757256, 0.03824663162231445]
['CV', 166, 'BV', 19, 'fold', 'cp', 'V3', 'V3', 0.8980891719745223, 0.18181157112121582]
['BV', 32, 'CV', 74, 'perl', 'pathchk', 'V0', 'V2', 0.9982989982989983, 1.5344319343566895]
['CV', 40, 'UV', 62, 'ls', 'ar', 'V2', 'V1', 0.9691119691119691, 2.6434977054595947]
['CV', 263, 'UV', 63, 'unlink', 'elfedit', 'V1', 'V1', 0.9636363636363636, 0.04952120780944824]
['BV', 8, 'CV', 208, 'cluster', 'echo', 'V2', 'V0', 0.9935846030473136, 0.1493377685546875]
['BV', 53, 'CV', 222, 'ssh', 'df', 'V2', 'V0', 0.9987914495052497, 2.573626756668091]
['UV', 17, 'BV', 1, 'addr2line', 'libSDL2-2.0.so', 'V2', 'V3', 0.9804565233987327, 30.732568740844727]
