['CO', 74, 'BO', 79, 'unexpand', 'bash', 'O3', 'O3', 0.986648865153538, 2.4215972423553467]
['CO', 123, 'BO', 43, 'dd', 'diff', 'O1', 'O1', 0.8802045288531775, 0.3588569164276123]
['UO', 41, 'CO', 381, 'locate', 'who', 'O2', 'O0', 0.9673469387755103, 0.3330981731414795]
['CO', 199, 'BO', 26, 'sha224sum', 'gvmap', 'O1', 'O3', 0.9515570934256056, 0.3215305805206299]
['UO', 42, 'CO', 27, 'xargs', 'wc', 'O2', 'O3', 0.9830097087378641, 0.17771506309509277]
['UO', 13, 'CO', 5, 'addr2line', 'basename', 'O1', 'O3', 0.9966576143722582, 0.8997302055358887]
['CO', 401, 'BO', 73, 'pathchk', 'cluster', 'O0', 'O1', 0.9412628487518355, 0.2986583709716797]
['BO', 82, 'CO', 397, 'cp', '[', 'O3', 'O0', 0.9469632164242943, 0.25585126876831055]
['CO', 222, 'BO', 66, 'stty', 'svn', 'O2', 'O2', 0.9823717948717948, 0.7754735946655273]
['CO', 128, 'UO', 49, 'tee', 'c++filt', 'O1', 'O3', 0.9760850310008857, 1.071542739868164]
['UO', 41, 'CO', 267, 'locate', 'tsort', 'O2', 'O2', 0.9817184643510055, 0.21018385887145996]
['UO', 3, 'CO', 353, 'nm', 'echo', 'O1', 'O0', 0.9905135079397814, 0.9808549880981445]
['BO', 55, 'CO', 45, 'make', 'split', 'O1', 'O3', 0.9761600681140911, 0.6975736618041992]
['UO', 28, 'CO', 370, 'readelf', 'df', 'O2', 'O0', 0.9783508436803565, 1.4087562561035156]
['BO', 18, 'UO', 74, 'libvlc.so.12.0.0', 'ld', 'O1', 'O0', 0.9794526461193128, 15.709390878677368]
