['CO', 411, 'UO', 44, 'sort', 'nm', 'O0', 'O3', 0.9598378776713339, 4.0203328132629395]
['UO', 85, 'CO', 33, 'locate', 'chown', 'O0', 'O3', 0.9846062759029012, 0.5492477416992188]
['BO', 17, 'CO', 379, 'codeblocks', 'nohup', 'O2', 'O0', 0.9983862959285005, 4.004551649093628]
['UO', 45, 'CO', 409, 'strip', 'uniq', 'O3', 'O0', 0.9898156277436347, 1.5733652114868164]
['BO', 72, 'CO', 395, 'make', 'csplit', 'O2', 'O0', 0.9790068631408962, 0.8314781188964844]
['CO', 80, 'BO', 7, 'uname', 'sort', 'O3', 'O0', 0.9282868525896414, 0.23251700401306152]
['CO', 26, 'UO', 21, 'kill', 'sdiff', 'O3', 'O1', 0.890625, 0.09734630584716797]
['UO', 38, 'BO', 61, 'elfedit', 'git', 'O2', 'O1', 0.98971122254885, 4.611432313919067]
['CO', 105, 'BO', 22, 'touch', 'perl', 'O1', 'O0', 0.9888965995836225, 5.625724792480469]
['BO', 58, 'CO', 244, 'svn', 'pinky', 'O1', 'O2', 0.9909762100082035, 0.6412031650543213]
['UO', 86, 'CO', 90, 'xargs', 'tr', 'O0', 'O3', 0.9739696312364425, 0.20528340339660645]
['CO', 297, 'UO', 11, 'pathchk', 'ld', 'O2', 'O1', 0.9829704075935232, 1.2560758590698242]
['BO', 80, 'CO', 220, 'ssh', 'ptx', 'O3', 'O2', 0.9951086174651129, 2.225141763687134]
['UO', 7, 'CO', 334, 'ranlib', 'pwd', 'O1', 'O0', 0.9902458056964495, 1.304708480834961]
['BO', 31, 'CO', 59, 'bash', 'tsort', 'O2', 'O3', 0.9975593729465878, 2.331784963607788]
['CO', 19, 'UO', 84, 'dd', 'sdiff', 'O3', 'O0', 0.9496475327291037, 0.21313929557800293]
['UO', 60, 'CO', 356, 'xargs', 'seq', 'O3', 'O0', 0.9646910466582598, 0.17802834510803223]
['CO', 407, 'BO', 44, 'sha224sum', 'cmp', 'O0', 'O2', 0.9123376623376623, 0.09452605247497559]
['CO', 383, 'UO', 35, 'readlink', 'gprof', 'O0', 'O2', 0.9642857142857143, 1.5303151607513428]
['CO', 226, 'BO', 33, 'uptime', 'sort', 'O2', 'O2', 0.8972332015810277, 0.1947026252746582]
['UO', 5, 'BO', 18, 'readelf', 'libvlc.so.12.0.0', 'O1', 'O1', 0.982730455075846, 3.5813100337982178]
