['CO', 404, 'UO', 35, 'sha512sum', 'gprof', 'O0', 'O2', 0.9717757742061937, 1.5263738632202148]
['UO', 48, 'CO', 252, 'ranlib', 'seq', 'O3', 'O2', 0.9934047815333883, 0.9936270713806152]
['CO', 401, 'UO', 87, 'pathchk', 'find', 'O0', 'O0', 0.9739826551034023, 0.7827379703521729]
['UO', 20, 'CO', 330, 'diff', 'uptime', 'O1', 'O0', 0.9724696356275304, 0.27991223335266113]
['UO', 5, 'CO', 12, 'readelf', 'ptx', 'O1', 'O3', 0.9900891972249752, 1.0728306770324707]
['BO', 43, 'CO', 363, 'diff', 'realpath', 'O1', 'O0', 0.9744204636290967, 0.2967503070831299]
['CO', 275, 'UO', 54, 'nohup', 'addr2line', 'O2', 'O3', 0.9805352798053528, 0.8311138153076172]
['UO', 40, 'CO', 134, 'objdump', 'expand', 'O2', 'O1', 0.9970080239358086, 1.5531113147735596]
['UO', 24, 'CO', 175, 'diff', 'readlink', 'O2', 'O1', 0.963855421686747, 0.22525310516357422]
['CO', 191, 'BO', 77, 'id', 'libSDL2-2.0.so.0.16.0', 'O1', 'O3', 0.980072463768116, 2.6061792373657227]
['CO', 37, 'UO', 28, 'truncate', 'readelf', 'O3', 'O2', 0.9640630729739641, 0.5226056575775146]
['BO', 72, 'CO', 307, 'make', 'sort', 'O2', 'O2', 0.9636891793754538, 1.3176865577697754]
['CO', 171, 'UO', 48, 'nohup', 'ranlib', 'O1', 'O3', 0.9768738385298369, 1.069958209991455]
['BO', 30, 'CO', 96, 'libvlccore.so.9.0.0', 'fold', 'O2', 'O3', 0.999236568374845, 2.3029532432556152]
['CO', 325, 'UO', 59, 'printenv', 'locate', 'O0', 'O3', 0.9557266602502407, 0.22144031524658203]
['UO', 36, 'CO', 303, 'addr2line', 'sha224sum', 'O2', 'O2', 0.995237064299632, 0.9684903621673584]
['BO', 27, 'UO', 52, 'perl', 'ld', 'O3', 'O3', 0.9881054291507096, 74.75873517990112]
['CO', 35, 'UO', 19, 'base32', 'cmp', 'O3', 'O1', 0.8894830659536542, 0.07787418365478516]
['BO', 66, 'CO', 352, 'svn', 'sync', 'O2', 'O0', 0.986901350798199, 0.6561918258666992]
['CO', 162, 'BO', 53, 'df', 'bash', 'O1', 'O0', 0.9840217304465926, 6.422264814376831]
['BO', 50, 'CO', 186, 'perl', 'shuf', 'O2', 'O1', 0.9960753532182104, 4.502881288528442]
['CO', 303, 'UO', 55, 'sha224sum', 'ar', 'O2', 'O3', 0.9773008666941808, 1.030738115310669]
['UO', 2, 'CO', 44, 'find', 'seq', 'O1', 'O3', 0.9885480572597137, 0.5618438720703125]
['UO', 42, 'BO', 34, 'xargs', 'cp', 'O2', 'O2', 0.950597609561753, 0.3963024616241455]
['BO', 74, 'CO', 158, 'dot', 'true', 'O1', 'O1', 0.9767441860465116, 0.028909683227539062]
['UO', 11, 'CO', 21, 'ld', 'mktemp', 'O1', 'O3', 0.9953558257068706, 2.003666877746582]
['BO', 14, 'CO', 139, 'cmp', 'base32', 'O0', 'O1', 0.9015280135823429, 0.09274029731750488]
['BO', 11, 'CO', 181, 'ssh', 'env', 'O1', 'O1', 0.9925892989476804, 1.3546817302703857]
['BO', 22, 'CO', 118, 'perl', 'stty', 'O0', 'O1', 0.9969271597178574, 3.7765095233917236]
['CO', 391, 'UO', 73, 'link', 'objcopy', 'O0', 'O0', 0.9907242240456654, 2.064894914627075]
['UO', 14, 'CO', 179, 'ar', 'mv', 'O1', 'O1', 0.9817083692838654, 3.8313255310058594]
['CO', 183, 'UO', 9, 'link', 'strings', 'O1', 'O1', 0.9729444092158106, 0.8985581398010254]
['UO', 30, 'CO', 146, 'ranlib', 'sum', 'O2', 'O1', 0.9951436665317686, 1.1484332084655762]
['UO', 84, 'CO', 379, 'sdiff', 'nohup', 'O0', 'O0', 0.9490806223479491, 0.11424970626831055]
['BO', 15, 'CO', 43, 'diff', 'chroot', 'O0', 'O3', 0.9704142011834319, 0.2674388885498047]
['CO', 30, 'BO', 10, 'expand', 'openssl', 'O3', 'O3', 0.993149928184731, 3.0694773197174072]
['CO', 94, 'UO', 12, 'rm', 'gprof', 'O3', 'O1', 0.9657521635058001, 2.1121163368225098]
['UO', 6, 'CO', 360, 'as', 'ls', 'O1', 'O0', 0.9929947460595446, 6.47324275970459]
['CO', 58, 'UO', 55, 'df', 'ar', 'O3', 'O3', 0.9657428791377983, 2.203171968460083]
['CO', 236, 'UO', 60, 'factor', 'xargs', 'O2', 'O3', 0.9719953325554259, 0.1951596736907959]
['CO', 298, 'UO', 28, 'tr', 'readelf', 'O2', 'O2', 0.9603960396039604, 0.5410573482513428]
['UO', 23, 'CO', 397, 'cmp', '[', 'O2', 'O0', 0.9059967585089141, 0.10132741928100586]
['CO', 376, 'BO', 58, 'tty', 'svn', 'O0', 'O1', 0.9818031430934657, 0.636725664138794]
