['UO', 17, 'CO', 231, 'objdump', 'pr', 'O1', 'O2', 0.9945722408891187, 2.458749532699585]
['UO', 26, 'BO', 37, 'nm', 'gvmap', 'O2', 'O2', 0.9815602836879432, 3.8523337841033936]
['BO', 39, 'CO', 353, 'codeblocks', 'echo', 'O3', 'O0', 0.998406862745098, 3.4045517444610596]
['UO', 34, 'BO', 13, 'ld', 'ruby', 'O2', 'O1', 0.9798502685703153, 159.2501518726349]
['BO', 67, 'CO', 383, 'libSDL2-2.0.so.0.16.0', 'readlink', 'O1', 'O0', 0.9922254616132167, 2.7772326469421387]
['BO', 73, 'UO', 25, 'cluster', 'sdiff', 'O1', 'O2', 0.9531459170013387, 0.4112424850463867]
['BO', 45, 'CO', 343, 'diff', 'date', 'O2', 'O0', 0.9665211062590975, 0.3870353698730469]
['CO', 27, 'UO', 56, 'wc', 'elfedit', 'O3', 'O3', 0.986863711001642, 0.10941839218139648]
['CO', 161, 'UO', 49, 'od', 'c++filt', 'O1', 'O3', 0.9642933964293396, 1.4705839157104492]
['BO', 52, 'CO', 39, 'svn', 'paste', 'O3', 'O3', 0.994475138121547, 0.6158409118652344]
['CO', 139, 'BO', 46, 'base32', 'ruby', 'O1', 'O3', 0.9918884836917624, 6.69857931137085]
['UO', 32, 'BO', 53, 'strings', 'bash', 'O2', 'O0', 0.9734182642249035, 42.90185356140137]
['CO', 97, 'BO', 28, 'uniq', 'ruby', 'O3', 'O0', 0.9901324682346581, 7.23310399055481]
['UO', 20, 'CO', 253, 'diff', 'split', 'O1', 'O2', 0.9596774193548387, 0.2522156238555908]
['CO', 238, 'UO', 45, 'expand', 'strip', 'O2', 'O3', 0.9816810344827587, 1.0612175464630127]
['CO', 223, 'UO', 73, 'join', 'objcopy', 'O2', 'O0', 0.9896189689748732, 2.5159618854522705]
['CO', 403, 'BO', 40, 'comm', 'lua', 'O0', 'O0', 0.9753563662720464, 1.1036741733551025]
['BO', 31, 'CO', 389, 'bash', 'env', 'O2', 'O0', 0.9975575387505872, 2.3833141326904297]
['UO', 19, 'CO', 60, 'cmp', 'base64', 'O1', 'O3', 0.9180035650623886, 0.07187771797180176]
['CO', 51, 'BO', 83, 'realpath', 'lua', 'O3', 'O2', 0.9579652756625038, 0.8470249176025391]
['UO', 49, 'CO', 305, 'c++filt', 'uniq', 'O3', 'O2', 0.9947043248014121, 1.0328516960144043]
['UO', 11, 'CO', 176, 'ld', 'head', 'O1', 'O1', 0.9945070035704476, 1.767723798751831]
['CO', 238, 'BO', 19, 'expand', 'libvlccore.so.9.0.0', 'O2', 'O1', 0.991300985888266, 2.473135471343994]
['BO', 34, 'CO', 90, 'cp', 'tr', 'O2', 'O3', 0.9648473635522664, 0.19162821769714355]
['BO', 47, 'CO', 346, 'libvlc.so.12.0.0', 'tail', 'O0', 'O0', 0.9938271604938271, 1.3120057582855225]
['UO', 42, 'CO', 105, 'xargs', 'touch', 'O2', 'O1', 0.9644444444444444, 0.2255403995513916]
['UO', 39, 'CO', 269, 'size', 'cksum', 'O2', 'O2', 0.9956303255407473, 0.7385892868041992]
['UO', 37, 'CO', 18, 'ar', 'uptime', 'O2', 'O3', 0.9968012794882047, 1.3099565505981445]
['UO', 30, 'CO', 97, 'ranlib', 'uniq', 'O2', 'O3', 0.9952286282306163, 1.3296916484832764]
