['UO', 66, 'CO', 52, 'nm', 'sha256sum', 'O0', 'O3', 0.9975127815393119, 1.7543871402740479]
['BO', 60, 'CO', 139, 'openssl', 'base32', 'O0', 'O1', 0.9979939819458375, 2.852858066558838]
['CO', 93, 'BO', 29, 'nl', 'libvlc.so.12.0.0', 'O3', 'O2', 0.9757942511346445, 0.5704553127288818]
['CO', 164, 'BO', 5, 'base64', 'libgeany.so.0.0.0', 'O1', 'O1', 0.9929296384992587, 7.879871129989624]
['CO', 349, 'BO', 75, 'truncate', 'gvmap', 'O0', 'O1', 0.9356605065023956, 0.3221163749694824]
['CO', 385, 'UO', 80, 'hostid', 'objdump', 'O0', 'O0', 0.9925135691559049, 2.5955309867858887]
['CO', 272, 'BO', 14, 'tty', 'cmp', 'O2', 'O0', 0.8962075848303394, 0.061514854431152344]
['UO', 1, 'CO', 161, 'xargs', 'od', 'O1', 'O1', 0.9423503325942351, 0.21472549438476562]
['UO', 70, 'CO', 34, 'ranlib', 'tail', 'O0', 'O3', 0.9968578161822467, 2.804161787033081]
['UO', 46, 'CO', 160, 'readelf', 'cut', 'O3', 'O1', 0.9829424307036247, 0.5826027393341064]
['CO', 202, 'BO', 71, 'sleep', 'libSDL2-2.0.so.0.16.0', 'O1', 'O0', 0.98592, 2.382725477218628]
['CO', 224, 'UO', 19, 'dirname', 'cmp', 'O2', 'O1', 0.8847006651884701, 0.049916982650756836]
['UO', 6, 'CO', 391, 'as', 'link', 'O1', 'O0', 0.9979215380618343, 1.4260990619659424]
['UO', 86, 'BO', 1, 'xargs', 'ssh', 'O0', 'O2', 0.9602185179997198, 3.0594825744628906]
['BO', 12, 'CO', 145, 'libgeany.so.0.0.0', 'echo', 'O0', 'O1', 0.9991252369150022, 4.2523579597473145]
['CO', 298, 'BO', 77, 'tr', 'libSDL2-2.0.so.0.16.0', 'O2', 'O3', 0.9816118047673099, 2.208738088607788]
['CO', 39, 'UO', 50, 'paste', 'strings', 'O3', 'O3', 0.969743477307608, 0.9866273403167725]
['CO', 332, 'BO', 37, 'mkfifo', 'gvmap', 'O0', 'O2', 0.9448508722566122, 0.6758146286010742]
['UO', 58, 'CO', 254, 'objdump', 'whoami', 'O3', 'O2', 0.9975546800706426, 1.0605006217956543]
['BO', 61, 'UO', 87, 'git', 'find', 'O1', 'O0', 0.9963288420230424, 42.64432740211487]
['UO', 9, 'CO', 20, 'strings', 'mkfifo', 'O1', 'O3', 0.9958097632516237, 0.912388801574707]
['BO', 24, 'CO', 310, 'cluster', 'mknod', 'O3', 'O2', 0.9735819735819736, 0.2230522632598877]
['BO', 79, 'CO', 397, 'bash', '[', 'O3', 'O0', 0.9945079280715741, 2.937563180923462]
['CO', 90, 'BO', 59, 'tr', 'libgeany.so.0.0.0', 'O3', 'O3', 0.993298969072165, 9.461635112762451]
['CO', 206, 'UO', 68, 'mknod', 'readelf', 'O1', 'O0', 0.9764212732512444, 0.7968077659606934]
['BO', 79, 'CO', 201, 'bash', 'uniq', 'O3', 'O1', 0.9944942722671166, 2.7609381675720215]
['BO', 40, 'UO', 57, 'lua', 'size', 'O0', 'O3', 0.9699413489736071, 12.432162046432495]
['BO', 66, 'CO', 257, 'svn', 'nice', 'O2', 'O2', 0.9932885906040269, 0.4697251319885254]
['BO', 25, 'CO', 361, 'dot', 'nice', 'O3', 'O0', 0.9806451612903225, 0.03498435020446777]
['CO', 40, 'BO', 65, 'sync', 'gvmap', 'O3', 'O0', 0.9717028802425467, 0.39811038970947266]
['CO', 327, 'BO', 14, 'join', 'cmp', 'O0', 'O0', 0.9371428571428572, 0.11744928359985352]
['CO', 406, 'UO', 27, 'rm', 'strip', 'O0', 'O2', 0.9645307010205789, 2.8506548404693604]
['UO', 18, 'BO', 56, 'diff3', 'libvlc.so.12.0.0', 'O1', 'O3', 0.9863450159308147, 0.8161206245422363]
['UO', 60, 'CO', 6, 'xargs', 'mkdir', 'O3', 'O3', 0.9833926453143536, 0.18529438972473145]
['CO', 128, 'UO', 17, 'tee', 'objdump', 'O1', 'O1', 0.9778801843317972, 1.7523155212402344]
['BO', 14, 'CO', 273, 'cmp', 'false', 'O0', 'O2', 0.9344262295081968, 0.05351090431213379]
['BO', 37, 'CO', 78, 'gvmap', 'chcon', 'O2', 'O3', 0.9577039274924471, 0.4999392032623291]
['BO', 37, 'CO', 402, 'gvmap', 'tr', 'O2', 'O0', 0.9675955930006481, 0.4271984100341797]
['CO', 170, 'UO', 83, 'runcon', 'diff', 'O1', 'O0', 0.9227053140096618, 0.21709918975830078]
['UO', 9, 'CO', 390, 'strings', 'chcon', 'O1', 'O0', 0.9879541480474062, 2.427156686782837]
['CO', 342, 'UO', 28, 'expand', 'readelf', 'O0', 'O2', 0.9564270152505446, 0.5983397960662842]
['CO', 285, 'UO', 26, 'env', 'nm', 'O2', 'O2', 0.9780974876529955, 0.8405959606170654]
['BO', 30, 'CO', 169, 'libvlccore.so.9.0.0', 'false', 'O2', 'O1', 0.997500720945881, 1.8466367721557617]
['BO', 58, 'CO', 324, 'svn', 'ptx', 'O1', 'O0', 0.9852832965415746, 1.1957144737243652]
['UO', 61, 'CO', 55, 'find', 'cp', 'O3', 'O3', 0.9804195804195804, 1.4013004302978516]
['CO', 42, 'BO', 50, 'sum', 'perl', 'O3', 'O2', 0.990260594893393, 3.2675421237945557]
['CO', 119, 'BO', 43, 'join', 'diff', 'O1', 'O1', 0.9002452984464432, 0.26010799407958984]
['CO', 36, 'UO', 9, 'pinky', 'strings', 'O3', 'O1', 0.9710922981622961, 1.267587423324585]
['BO', 53, 'UO', 1, 'bash', 'xargs', 'O0', 'O1', 0.9950316531773379, 4.524631500244141]
